Object id,Property,Data type,Factor,Example,Result,Unit
0x01,battery,uint8 (1 byte),1,161,97,%
0x02,temperature,sint16 (2 bytes),0.01,02CA09,25.06,°C
0x03,humidity,uint16 (2 bytes),0.01,03BF13,50.55,%
0x04,pressure,uint24 (3 bytes),0.01,04138A01,1008.83,hPa
0x05,illuminance,uint24 (3 bytes),0.01,05138A14,13460.67,lux
0x06,mass (kg),uint16 (2 bytes),0.01,065E1F,80.3,kg
0x07,mass (lb),uint16 (2 bytes),0.01,073E1D,74.86,lb
0x08,dewpoint,sint16 (2 bytes),0.01,08CA06,17.38,°C
0x09,count,uint8 (1 byte),1,960,96,
0x0A,energy,uint24 (3 bytes),0.001,0A138A14,1346.067,kWh
0x0B,power,uint24 (3 bytes),0.01,0B021B00,69.14,W
0x0C,voltage,uint16 (2 bytes),0.001,0C020C,3.074,V
0x0D,pm2.5,uint16 (2 bytes),1,0D120C,3090,ug/m3
0x0E,pm10,uint16 (2 bytes),1,0E021C,7170,ug/m3
0x0F,generic boolean,uint8 (1 byte),0F01,"0 (False = Off) 1 (True = On)"
0x10,power,uint8 (1 byte),1001,"0 (False = Off) 1 (True = On)"
0x11,opening,uint8 (1 byte),1100,"0 (False = Closed) 1 (True = Open)"
0x12,co2,uint16 (2 bytes),1,12E204,1250,ppm
0x13,tvoc,uint16 (2 bytes),1,133301,307,ug/m3
0x14,moisture,uint16 (2 bytes),0.01,14020C,30.74,%
0x15,battery,uint8 (1 byte),1501,"0 (False = Normal) 1 (True = Low)"
0x16,battery charging,uint8 (1 byte),1601,"0 (False = Not Charging) 1 (True = Charging)"
0x17,carbon monoxide,uint8 (1 byte),1700,"0 (False = Not detected) 1 (True = Detected)"
0x18,cold,uint8 (1 byte),1801,"0 (False = Normal) 1 (True = Cold)"
0x19,connectivity,uint8 (1 byte),1900,"0 (False = Disconnected) 1 (True = Connected)"
0x1A,door,uint8 (1 byte),1A00,"0 (False = Closed) 1 (True = Open)"
0x1B,garage door,uint8 (1 byte),1B01,"0 (False = Closed) 1 (True = Open)"
0x1C,gas,uint8 (1 byte),1C01,"0 (False = Clear) 1 (True = Detected)"
0x1D,heat,uint8 (1 byte),1D00,"0 (False = Normal) 1 (True = Hot)"
0x1E,light,uint8 (1 byte),1E01,"0 (False = No light) 1 (True = Light detected)"
0x1F,lock,uint8 (1 byte),1F01,"0 (False = Locked) 1 (True = Unlocked)"
0x20,moisture,uint8 (1 byte),2001,"0 (False = Dry) 1 (True = Wet)"
0x21,motion,uint8 (1 byte),2100,"0 (False = Clear) 1 (True = Detected)"
0x22,moving,uint8 (1 byte),2201,"0 (False = Not moving) 1 (True = Moving)"
0x23,occupancy,uint8 (1 byte),2301,"0 (False = Clear) 1 (True = Detected)"
0x24,plug,uint8 (1 byte),2400,"0 (False = Unplugged) 1 (True = Plugged in)"
0x25,presence,uint8 (1 byte),2500,"0 (False = Away) 1 (True = Home)"
0x26,problem,uint8 (1 byte),2601,"0 (False = OK) 1 (True = Problem)"
0x27,running,uint8 (1 byte),2701,"0 (False = Not Running) 1 (True = Running)"
0x28,safety,uint8 (1 byte),2800,"0 (False = Unsafe) 1 (True = Safe)"
0x29,smoke,uint8 (1 byte),2901,"0 (False = Clear) 1 (True = Detected)"
0x2A,sound,uint8 (1 byte),2A00,"0 (False = Clear) 1 (True = Detected)"
0x2B,tamper,uint8 (1 byte),2B00,"0 (False = Off) 1 (True = On)"
0x2C,vibration,uint8 (1 byte),2C01,"0 (False = Clear) 1 (True = Detected)"
0x2D,window,uint8 (1 byte),2D01,"0 (False = Closed) 1 (True = Open)"
0x2E,humidity,uint8 (1 byte),1,2E23,35,%
0x2F,moisture,uint8 (1 byte),1,2F23,35,%
0x3D,count,uint16 (2 bytes),1,3D0960,24585,
0x3E,count,uint32 (4 bytes),1,3E2A2C0960,1611213866,
0x3F,rotation,sint16 (2 bytes),0.1,3F020C,307.4,°
0x40,distance (mm),uint16 (2 bytes),1,400C00,12,mm
0x41,distance (m),uint16 (2 bytes),0.1,414,7.8,m
0x42,duration,uint24 (3 bytes),0.001,424E3400,13.39,s
0x43,current,uint16 (2 bytes),0.001,434E34,13.39,A
0x44,speed,uint16 (2 bytes),0.01,444E34,133.9,m/s
0x45,temperature,sint16 (2 bytes),0.1,451101,27.3,°C
0x46,UV index,uint8 (1 byte),0.1,4632,5,
0x47,volume,uint16 (2 bytes),0.1,478756,2215.1,L
0x48,volume,uint16 (2 bytes),1,48DC87,34780,mL
0x49,volume flow rate,uint16 (2 bytes),0.001,49DC87,34.78,m3/hr
0x4A,voltage,uint16 (2 bytes),0.1,4A020C,307.4,V
0x4B,gas,uint24 (3 bytes),0.001,4B138A14,1346.067,m3
0x4C,gas,uint32 (4 bytes),0.001,4C41018A01,25821.505,m3
0x4D,energy,uint32 (4 bytes),0.001,4d12138a14,344593.17,kWh
0x4E,volume,uint32 (4 bytes),0.001,4E87562A01,19551.879,L
0x4F,water,uint32 (4 bytes),0.001,4F87562A01,19551.879,L
0x50,timestamp,uint48 (4 bytes),-,505d396164,see below,
0x51,acceleration,uint16 (2 bytes),0.001,518756,22.151,m/s²
0x52,gyroscope,uint16 (2 bytes),0.001,528756,22.151,°/s
0x53,text,see below,-,530C48656C6C6F 20576F726C6421,Hello World!,
0x54,raw,see below,-,540C48656C6C6F 20576F726C6421,48656c6c6f20 576f726c6421,
0x55,volume storage,uint32 (4 bytes),0.001,5587562A01,19551.879,L
0x56,conductivity,uint16 (2 bytes),1,56E803,1000,µS/cm
0x57,temperature,sint8 (1 byte),1,57EA,-22,°C
0x58,temperature,sint8 (1 byte),0.35,58EA,-7.7,°C
0x59,count,sint8 (1 byte),1,59EA,-22,
0x5A,count,sint16 (2 bytes),1,5AEAEA,-5398,
0x5B,count,sint32 (4 bytes),1,5BEA0234EA,-365690134,
0x5C,power,sint32 (4 bytes),0.01,5C02FBFFFF,-12.78,W
0x5D,current,sint16 (2 bytes),0.001,5D02EA,-5.63,A
0x5E,direction,uint16 (2 bytes),0.01,5E9F8C,359.99,°
0x5F,precipitation,uint16 (2 bytes),1,5FA00F,4000,mm
0x60,channel,uint8 (1 byte),1,6001,1,
